fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221030 004728	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1914	1	1	1	0.1	50	0.5	FALSE	318601	0.0100870942862232	0.715792984055629	0.654163397922	7.38139484459178	0.000495201061720569	15063	16754000	79
20221030 004927	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	654	1	1	1	0.1	50	0.5	FALSE	318601	0.0112867756019014	0.585758301191739	0.152824575284255	8.64024388678951	0.0149358294690034	14371	17258000	80
20221030 005123	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	948	1	1	1	0.1	50	0.5	FALSE	318601	0.0101433071252012	0.227187567829898	0.942730942806241	6.78569192705843	0.0402994837861323	13389	18662000	81
20221030 005315	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1111	1	1	1	0.1	50	0.5	FALSE	318601	0.0140565983861099	0.20027468211413	0.282467905056791	7.85540196282989	0.0168314336842444	14570	18620000	82
20221030 005332	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	16	1	1	1	0.1	50	0.5	FALSE	318601	0.240102303964098	0.632522391262544	0.0612116349418571	8.2508121146746	0.0329090777317544	18403	13034000	83
20221030 005516	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	785	1	1	1	0.1	50	0.5	FALSE	318601	0.0102804143485945	0.345460829035964	0.0572261417598897	9.19750492315543	0.0282709349782332	15283	17274000	84
20221030 005542	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	78	1	1	1	0.1	50	0.5	FALSE	318601	0.277790381819185	0.200156567923203	0.692878304561849	6.5751968521242	0.00528688657360119	14870	15300000	85
20221030 005825	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	663	1	1	1	0.1	50	0.5	FALSE	318601	0.0101468021535065	0.533550188830158	0.995010651457695	7.70972667100515	0.0193583206472569	14852	17656000	86
20221030 005930	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	221	1	1	1	0.1	50	0.5	FALSE	318601	0.0627664221754575	0.43537035757714	0.967908324662697	8.04930163230187	0.0025316981244079	14974	16212000	87
20221030 010128	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	641	1	1	1	0.1	50	0.5	FALSE	318601	0.0100054257429536	0.585416666522452	0.0746060436817162	9.46473110639754	0.0184594431707596	14425	17310000	88
20221030 010450	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1321	1	1	1	0.1	50	0.5	FALSE	318601	0.010085142113699	0.785156670361258	0.212326245965829	9.18871140796749	0.000615170936736847	14127	16946000	89
20221030 010828	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1492	1	1	1	0.1	50	0.5	FALSE	318601	0.0101366221706985	0.79635077632022	0.135880155387951	9.76955098014044	0.000249383650426204	15786	14828000	90
20221030 011029	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	965	1	1	1	0.1	50	0.5	FALSE	318601	0.0103734552407975	0.622704246757157	0.836231481213991	6.04185262719831	0.0170660899914274	13919	17362000	91
20221030 011105	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	725	1	1	1	0.1	50	0.5	FALSE	318601	0.24707448879567	0.70353587716739	0.0525726881024462	5.26550069792019	0.0168615072894756	16768	13904000	92
